Tanggal,Kab/Kota,Harga
2021-03-31,Kab. Lamongan,10000
2021-03-31,Kab. Lumajang,10500
2021-03-31,Kab. Madiun,9750
2021-03-31,Kab. Magetan,10000
2021-03-31,Kab. Malang,
2021-03-31,Kab. Mojokerto,9300
2021-03-31,Kab. Nganjuk,9300
2021-03-31,Kab. Ngawi,
2021-03-31,Kab. Pacitan,9000
2021-03-31,Kab. Pamekasan,11000
2021-03-31,Kab. Pasuruan,10500
2021-03-31,Kab. Ponorogo,11000
2021-03-31,Kab. Probolinggo,9600
2021-03-31,Kab. Sampang,10500
2021-03-31,Kab. Sidoarjo,11000
2021-03-31,Kab. Situbondo,10500
2021-03-31,Kab. Sumenep,10500
2021-03-31,Kab. Trenggalek,10000
2021-03-31,Kab. Tuban,9500
2021-03-31,Kab. Tulungagung,9500
2021-03-31,Kota Batu,11000
2021-03-31,Kota Blitar,10500
2021-03-31,Kota Kediri,9500
2021-03-31,Kota Madiun,10000
2021-03-31,Kota Malang,10500
2021-03-31,Kota Mojokerto,11000
2021-03-31,Kota Pasuruan,11000
2021-03-31,Kota Probolinggo,10000
2021-03-31,Kota Surabaya,10500
2021-04-01,Kab. Bangkalan,11000
2021-04-01,Kab. Banyuwangi,10000
2021-04-01,Kab. Blitar,9500
2021-04-01,Kab. Bojonegoro,10000
2021-04-01,Kab. Bondowoso,10500
2021-04-01,Kab. Gresik,10600
2021-04-01,Kab. Jember,11000
2021-04-01,Kab. Jombang,9500
2021-04-01,Kab. Kediri,9300
2021-04-01,Kab. Lamongan,10000
2021-04-01,Kab. Lumajang,10000
2021-04-01,Kab. Madiun,9750
2021-04-01,Kab. Magetan,10000
2021-04-01,Kab. Malang,
2021-04-01,Kab. Mojokerto,9500
2021-04-01,Kab. Nganjuk,
2021-04-01,Kab. Ngawi,9200
2021-04-01,Kab. Pacitan,9500
2021-04-01,Kab. Pamekasan,11000
2021-04-01,Kab. Pasuruan,10500
2021-04-01,Kab. Ponorogo,11000
2021-04-01,Kab. Probolinggo,9600
2021-04-01,Kab. Sampang,10500
2021-04-01,Kab. Sidoarjo,11000
2021-04-01,Kab. Situbondo,10500
2021-04-01,Kab. Sumenep,10500
2021-04-01,Kab. Trenggalek,10000
2021-04-01,Kab. Tuban,9500
2021-04-01,Kab. Tulungagung,9500
2021-04-01,Kota Batu,11000
2021-04-01,Kota Blitar,10500
2021-04-01,Kota Kediri,9500
2021-04-01,Kota Madiun,10000
2021-04-01,Kota Malang,10500
2021-04-01,Kota Mojokerto,11000
2021-04-01,Kota Pasuruan,11000
2021-04-01,Kota Probolinggo,10000
2021-04-01,Kota Surabaya,10800
2021-04-02,Kab. Bangkalan,11000
2021-04-02,Kab. Banyuwangi,10000
2021-04-02,Kab. Blitar,9500
